"t","s1","s2","c","r","rep1","rep2","resp1","resp2","stake","s1L"
1,2,3,1,35,0,0,0,0,5,0
2,1,3,1,40,0,0,0,0,5,1
3,2,3,1,9,1,0,0,0,1,0
4,1,4,2,5,1,0,0,0,5,0
5,2,4,2,1,0,0,0,1,1,1
6,1,4,2,5,0,1,0,0,5,0
7,2,4,2,0,0,1,0,0,1,1
8,2,4,2,0,0,1,0,0,5,1
9,2,4,2,25,0,1,0,1,5,0
10,2,3,1,45,0,1,0,0,5,0
11,2,3,1,45,0,0,1,0,5,1
12,1,4,2,5,1,0,0,0,5,0
13,2,4,2,10,0,0,0,0,5,0
14,1,3,1,15,0,1,0,1,5,1
15,1,3,1,2,0,0,0,0,1,0
16,1,4,2,0,1,0,0,0,5,1
17,1,4,2,0,0,0,0,0,5,1
18,1,3,1,4,0,1,0,1,1,1
19,1,3,1,35,0,0,1,0,5,1
20,2,4,2,0,1,0,1,0,1,0
21,1,4,2,0,0,0,0,0,5,1
22,1,3,1,35,0,1,0,0,5,1
23,2,3,1,1,0,0,1,0,1,1
24,2,4,2,10,1,0,1,0,5,0
25,2,4,2,0,0,0,0,0,1,1
26,1,3,1,20,0,1,0,0,5,0
27,1,3,1,25,0,0,0,0,5,0
28,2,3,1,6,1,0,1,0,1,0
29,1,3,1,30,1,0,1,0,5,1
30,2,4,2,25,1,0,0,0,5,1
31,2,4,2,2,0,0,0,1,1,0
32,2,3,1,4,0,1,0,0,1,1
33,1,3,1,0,0,0,0,0,1,0
34,1,4,2,25,1,0,0,0,5,1
35,1,4,2,25,0,0,0,0,5,1
36,1,3,1,5,0,1,0,1,5,0
37,2,3,1,0,0,0,0,0,1,1
38,2,4,2,0,1,0,0,0,1,1
39,2,4,2,1,0,0,0,1,1,1
40,2,3,1,35,0,1,0,1,5,0
41,2,3,1,6,0,0,0,0,1,0
42,2,4,2,6,1,0,1,0,1,0
43,1,4,2,10,0,0,0,1,5,0
44,1,3,1,35,0,1,0,1,5,1
45,2,3,1,40,0,0,0,0,5,1
46,2,4,2,0,1,0,1,0,5,0
47,2,4,2,0,0,0,0,0,5,0
48,1,3,1,30,0,1,0,1,5,1
49,2,3,1,7,0,0,0,0,1,0
50,2,4,2,2,1,0,0,0,1,0
51,2,4,2,20,0,0,0,1,5,1
52,1,3,1,45,0,1,0,0,5,0
53,2,3,1,8,0,0,0,0,1,0
54,1,4,2,20,1,0,1,0,5,0
55,2,4,2,6,0,0,0,1,1,0
56,2,3,1,9,0,1,0,1,1,1
57,1,3,1,9,0,0,0,0,1,0
58,1,4,2,15,1,0,0,0,5,0
59,2,4,2,5,0,0,0,1,5,0
60,2,3,1,9,0,1,0,1,1,0
61,2,3,1,9,0,0,1,0,1,0
62,2,4,2,25,1,0,1,0,5,0
63,1,4,2,4,0,0,0,1,1,1
64,1,3,1,40,0,1,0,0,5,1
65,2,3,1,9,0,0,1,0,1,1
66,1,4,2,3,1,0,1,0,1,1
67,1,4,2,30,0,0,0,1,5,1
68,1,3,1,30,0,1,0,1,5,0
69,1,3,1,8,0,0,0,0,1,1
70,1,4,2,20,1,0,0,0,5,1
71,1,4,2,5,0,0,0,1,1,0
72,1,3,1,4,0,1,0,0,1,1
73,1,3,1,4,0,0,0,0,1,1
74,1,4,2,35,1,0,1,0,5,1
75,1,4,2,4,0,0,0,1,1,0
76,2,3,1,3,0,1,0,0,1,0
77,2,3,1,15,0,0,1,0,5,0
78,1,4,2,20,1,0,1,0,5,0
79,1,4,2,10,0,0,0,1,5,0
80,2,3,1,6,0,1,0,1,1,0
81,2,3,1,9,0,0,1,0,1,1
82,2,4,2,5,1,0,0,0,5,1
83,1,4,2,0,0,0,0,1,5,0
84,1,3,1,7,0,1,0,0,1,1
85,1,3,1,35,0,0,0,0,5,1
86,2,4,2,0,1,0,1,0,1,0
87,2,4,2,0,0,0,0,0,1,0
88,1,3,1,35,0,1,0,1,5,0
89,2,3,1,35,0,0,1,0,5,1
90,1,4,2,0,1,0,0,0,5,0
91,2,4,2,2,0,0,0,0,1,0
92,1,3,1,4,0,1,0,1,1,0
93,2,3,1,25,0,0,1,0,5,1
94,1,4,2,5,1,0,0,0,5,0
95,1,4,2,0,0,0,0,0,5,1
96,2,3,1,4,0,1,0,0,1,1
97,1,3,1,15,0,0,1,0,5,1
