day,subject,trial,s1,s2,c,r,stim_l,stim_r,stake,s1L
1,21v1or0p00,1.0,2,1.0,3,21.0,3,4,1,1
1,21v1or0p00,1.0,3,3.0,1,4.2,1,2,5,1
1,21v1or0p00,2.0,1,2.0,2,24.0,2,1,1,0
1,21v1or0p00,2.0,4,3.0,3,4.2,3,4,5,1
1,21v1or0p00,3.0,1,1.0,1,24.0,1,2,1,1
1,21v1or0p00,3.0,4,3.0,3,4.8,3,4,5,1
1,21v1or0p00,4.0,4,4.0,4,4.2,4,3,5,0
1,21v1or0p00,4.0,2,1.0,3,21.0,4,3,1,0
1,21v1or0p00,5.0,2,1.0,3,9.0,4,3,1,0
1,21v1or0p00,5.0,4,4.0,4,5.4,3,4,5,1
1,21v1or0p00,6.0,4,3.0,3,3.0,4,3,5,0
1,21v1or0p00,6.0,2,1.0,3,12.0,4,3,1,0
1,21v1or0p00,7.0,2,1.0,3,18.0,4,3,1,0
1,21v1or0p00,7.0,4,3.0,3,0.0,4,3,5,0
1,21v1or0p00,8.0,4,4.0,4,5.4,3,4,5,1
1,21v1or0p00,8.0,2,2.0,4,12.0,3,4,1,1
1,21v1or0p00,9.0,1,2.0,2,15.0,1,2,1,1
1,21v1or0p00,9.0,3,4.0,2,4.8,1,2,5,1
1,21v1or0p00,10.0,3,4.0,2,4.2,1,2,5,1
1,21v1or0p00,10.0,2,2.0,4,15.0,3,4,1,1
1,21v1or0p00,11.0,3,4.0,2,5.4,1,2,5,1
1,21v1or0p00,11.0,1,2.0,2,18.0,1,2,1,1
1,21v1or0p00,12.0,4,3.0,3,1.8,4,3,5,0
1,21v1or0p00,12.0,2,2.0,4,21.0,3,4,1,1
1,21v1or0p00,13.0,1,2.0,2,24.0,1,2,1,1
1,21v1or0p00,13.0,4,3.0,3,0.0,4,3,5,0
1,21v1or0p00,14.0,1,1.0,1,9.0,2,1,1,0
1,21v1or0p00,14.0,3,4.0,2,4.8,1,2,5,1
1,21v1or0p00,15.0,2,1.0,3,18.0,4,3,1,0
1,21v1or0p00,15.0,3,3.0,1,1.2,1,2,5,1
1,21v1or0p00,16.0,3,4.0,2,3.0,2,1,5,0
1,21v1or0p00,16.0,1,1.0,1,9.0,1,2,1,1
1,21v1or0p00,17.0,4,4.0,4,0.6,4,3,5,0
1,21v1or0p00,17.0,1,2.0,2,3.0,2,1,1,0
1,21v1or0p00,18.0,4,4.0,4,2.4,4,3,5,0
1,21v1or0p00,18.0,2,1.0,3,0.0,4,3,1,0
