day,subject,trial,s1,s2,c,r,stim_l,stim_m,stim_r,stake
2,k4r1m3br02,1.0,3,4.0,2,5.0,3,2,1,5
2,k4r1m3br02,1.0,2,1.0,3,0.0,3,,4,1
2,k4r1m3br02,2.0,2,2.0,4,9.0,3,,4,1
2,k4r1m3br02,2.0,4,5.0,6,2.0,6,5,4,5
2,k4r1m3br02,3.0,1,1.0,1,0.0,1,,2,1
2,k4r1m3br02,3.0,3,4.0,2,3.0,2,3,1,5
2,k4r1m3br02,4.0,3,5.0,3,0.0,3,1,2,5
2,k4r1m3br02,4.0,1,2.0,2,9.0,1,,2,1
2,k4r1m3br02,5.0,2,1.0,3,3.0,3,,4,1
2,k4r1m3br02,5.0,4,4.0,5,6.0,4,6,5,5
2,k4r1m3br02,6.0,2,1.0,3,7.0,3,,4,1
2,k4r1m3br02,6.0,3,5.0,3,3.0,3,1,2,5
2,k4r1m3br02,7.0,3,4.0,2,5.0,2,1,3,5
2,k4r1m3br02,7.0,1,1.0,1,9.0,1,,2,1
2,k4r1m3br02,8.0,1,1.0,1,9.0,1,,2,1
2,k4r1m3br02,8.0,3,4.0,2,5.0,2,1,3,5
2,k4r1m3br02,9.0,1,1.0,1,9.0,1,,2,1
2,k4r1m3br02,9.0,3,5.0,3,6.0,1,3,2,5
2,k4r1m3br02,10.0,4,3.0,4,2.0,4,6,5,5
2,k4r1m3br02,10.0,2,1.0,3,6.0,3,,4,1
2,k4r1m3br02,11.0,4,4.0,5,4.0,4,6,5,5
2,k4r1m3br02,11.0,2,1.0,3,6.0,3,,4,1
2,k4r1m3br02,12.0,2,1.0,3,9.0,3,,4,1
2,k4r1m3br02,12.0,4,5.0,6,3.0,6,4,5,5
2,k4r1m3br02,13.0,3,5.0,3,5.0,3,2,1,5
2,k4r1m3br02,13.0,2,2.0,4,0.0,3,,4,1
2,k4r1m3br02,14.0,2,1.0,3,4.0,3,,4,1
2,k4r1m3br02,14.0,3,3.0,1,1.0,1,3,2,5
2,k4r1m3br02,15.0,2,1.0,3,4.0,3,,4,1
2,k4r1m3br02,15.0,4,3.0,4,3.0,5,4,6,5
2,k4r1m3br02,16.0,4,5.0,6,7.0,5,6,4,5
2,k4r1m3br02,16.0,2,2.0,4,0.0,3,,4,1
2,k4r1m3br02,17.0,3,5.0,3,4.0,3,2,1,5
2,k4r1m3br02,17.0,2,2.0,4,0.0,4,,3,1
2,k4r1m3br02,18.0,3,3.0,1,4.0,2,1,3,5
2,k4r1m3br02,18.0,1,1.0,1,7.0,2,,1,1
2,k4r1m3br02,19.0,1,1.0,1,7.0,2,,1,1
2,k4r1m3br02,19.0,3,4.0,2,9.0,3,1,2,5
2,k4r1m3br02,20.0,2,2.0,4,3.0,3,,4,1
2,k4r1m3br02,20.0,3,4.0,2,9.0,1,2,3,5
2,k4r1m3br02,21.0,4,4.0,5,8.0,6,4,5,5
2,k4r1m3br02,21.0,2,2.0,4,2.0,3,,4,1
2,k4r1m3br02,22.0,1,1.0,1,0.0,1,,2,1
2,k4r1m3br02,22.0,4,5.0,6,4.0,6,5,4,5
2,k4r1m3br02,23.0,1,1.0,1,0.0,2,,1,1
2,k4r1m3br02,23.0,4,3.0,4,6.0,6,4,5,5
2,k4r1m3br02,24.0,4,5.0,6,3.0,6,5,4,5
2,k4r1m3br02,24.0,2,2.0,4,1.0,3,,4,1
2,k4r1m3br02,25.0,1,1.0,1,3.0,1,,2,1
2,k4r1m3br02,25.0,3,5.0,3,2.0,2,1,3,5
2,k4r1m3br02,26.0,4,4.0,5,3.0,6,5,4,5
2,k4r1m3br02,26.0,1,1.0,1,5.0,1,,2,1
2,k4r1m3br02,27.0,1,1.0,1,8.0,2,,1,1
2,k4r1m3br02,27.0,3,4.0,2,1.0,1,2,3,5
2,k4r1m3br02,28.0,1,1.0,1,4.0,2,,1,1
2,k4r1m3br02,28.0,4,3.0,4,5.0,5,4,6,5
2,k4r1m3br02,29.0,3,5.0,3,8.0,2,1,3,5
