day,subject,trial,s2,c1,c2,r,stim1_l,stim1_r,stim2_l,stim2_r,stake
1,mj1berj703,1.0,2,2,1,5.0,1,2,2,1,1
1,mj1berj703,1.0,2,2,1,0.0,2,1,1,2,5
1,mj1berj703,2.0,2,1,2,1.0,1,2,1,2,1
1,mj1berj703,2.0,2,2,,-1.0,1,2,1,2,5
1,mj1berj703,3.0,2,2,2,0.0,1,2,1,2,5
1,mj1berj703,3.0,2,2,,-1.0,2,1,1,2,1
1,mj1berj703,4.0,1,1,2,0.0,1,2,2,1,5
1,mj1berj703,4.0,1,2,2,0.0,2,1,2,1,1
1,mj1berj703,5.0,2,2,1,5.0,1,2,2,1,5
1,mj1berj703,5.0,1,1,2,0.0,2,1,1,2,1
1,mj1berj703,6.0,1,1,1,1.0,1,2,1,2,1
1,mj1berj703,6.0,1,2,2,0.0,1,2,2,1,5
1,mj1berj703,7.0,1,1,2,5.0,1,2,2,1,1
1,mj1berj703,7.0,1,2,2,5.0,1,2,2,1,5
1,mj1berj703,8.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,8.0,2,2,2,0.0,2,1,2,1,5
1,mj1berj703,9.0,2,1,1,0.0,2,1,2,1,1
1,mj1berj703,9.0,2,2,1,0.0,2,1,1,2,5
1,mj1berj703,10.0,1,1,2,0.0,2,1,2,1,5
1,mj1berj703,10.0,2,2,1,0.0,1,2,2,1,1
1,mj1berj703,11.0,2,2,2,0.0,2,1,1,2,5
1,mj1berj703,11.0,1,1,1,0.0,1,2,1,2,1
1,mj1berj703,12.0,2,1,2,0.0,2,1,2,1,5
1,mj1berj703,12.0,1,2,1,0.0,1,2,1,2,1
1,mj1berj703,13.0,1,1,2,0.0,1,2,1,2,5
1,mj1berj703,13.0,2,1,1,5.0,2,1,2,1,1
1,mj1berj703,14.0,1,1,2,0.0,2,1,2,1,1
1,mj1berj703,14.0,2,2,2,0.0,1,2,2,1,5
1,mj1berj703,15.0,1,2,2,0.0,1,2,1,2,5
1,mj1berj703,15.0,1,1,1,0.0,2,1,2,1,1
1,mj1berj703,16.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,16.0,1,1,2,0.0,2,1,2,1,5
1,mj1berj703,17.0,2,1,2,1.0,2,1,1,2,5
1,mj1berj703,17.0,1,2,1,0.0,1,2,1,2,1
1,mj1berj703,18.0,1,1,1,5.0,2,1,2,1,1
1,mj1berj703,18.0,1,1,1,5.0,1,2,2,1,5
1,mj1berj703,19.0,2,2,1,0.0,1,2,2,1,1
1,mj1berj703,19.0,2,2,1,0.0,2,1,1,2,5
1,mj1berj703,20.0,1,2,1,1.0,1,2,1,2,5
1,mj1berj703,20.0,1,1,2,5.0,1,2,2,1,1
1,mj1berj703,21.0,1,2,2,0.0,2,1,1,2,5
1,mj1berj703,21.0,1,1,2,0.0,2,1,1,2,1
1,mj1berj703,22.0,2,2,1,1.0,2,1,1,2,5
1,mj1berj703,22.0,1,2,1,0.0,2,1,2,1,1
1,mj1berj703,23.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,23.0,2,2,1,1.0,2,1,1,2,5
1,mj1berj703,24.0,2,1,1,5.0,1,2,2,1,5
1,mj1berj703,24.0,2,2,1,0.0,1,2,1,2,1
1,mj1berj703,25.0,2,2,1,0.0,2,1,1,2,5
1,mj1berj703,25.0,2,2,1,0.0,1,2,2,1,1
1,mj1berj703,26.0,1,1,1,5.0,1,2,2,1,1
1,mj1berj703,26.0,1,1,2,0.0,1,2,2,1,5
1,mj1berj703,27.0,2,2,1,0.0,1,2,2,1,5
1,mj1berj703,27.0,2,1,2,0.0,1,2,2,1,1
1,mj1berj703,28.0,2,2,1,1.0,2,1,1,2,1
1,mj1berj703,28.0,2,2,2,5.0,1,2,2,1,5
1,mj1berj703,29.0,2,1,2,0.0,1,2,2,1,5
1,mj1berj703,29.0,2,2,1,1.0,2,1,1,2,1
1,mj1berj703,30.0,2,1,1,0.0,1,2,1,2,5
1,mj1berj703,30.0,1,1,2,0.0,1,2,2,1,1
1,mj1berj703,31.0,2,2,1,0.0,1,2,1,2,1
1,mj1berj703,31.0,1,2,1,0.0,2,1,2,1,5
1,mj1berj703,32.0,2,2,2,5.0,2,1,2,1,5
1,mj1berj703,32.0,1,2,2,1.0,1,2,1,2,1
1,mj1berj703,33.0,2,1,2,5.0,1,2,2,1,5
1,mj1berj703,33.0,2,2,1,1.0,2,1,1,2,1
1,mj1berj703,34.0,2,1,2,0.0,1,2,2,1,5
1,mj1berj703,34.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,35.0,2,2,1,0.0,2,1,1,2,1
1,mj1berj703,35.0,2,2,2,1.0,2,1,1,2,5
1,mj1berj703,36.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,36.0,2,1,2,5.0,2,1,2,1,5
1,mj1berj703,37.0,2,1,2,0.0,1,2,2,1,5
1,mj1berj703,37.0,2,1,2,0.0,1,2,2,1,1
1,mj1berj703,38.0,1,1,2,0.0,1,2,1,2,5
1,mj1berj703,38.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,39.0,2,2,1,1.0,1,2,1,2,1
1,mj1berj703,39.0,2,2,2,5.0,2,1,2,1,5
1,mj1berj703,40.0,2,1,1,1.0,2,1,1,2,1
1,mj1berj703,40.0,2,2,1,1.0,2,1,1,2,5
1,mj1berj703,41.0,1,2,1,1.0,2,1,1,2,1
1,mj1berj703,41.0,1,2,2,0.0,1,2,1,2,5
1,mj1berj703,42.0,1,1,2,0.0,1,2,1,2,1
1,mj1berj703,42.0,1,1,1,1.0,1,2,1,2,5
1,mj1berj703,43.0,2,2,1,1.0,2,1,1,2,5
1,mj1berj703,43.0,2,2,1,0.0,1,2,2,1,1
1,mj1berj703,44.0,2,2,1,5.0,2,1,2,1,5
1,mj1berj703,44.0,1,2,1,0.0,1,2,2,1,1
