"beta","alpha","lambda","pi","rho","w_l","w_h"
0.702663527186861,0.827793825684168,0.000169438356039859,1.60889871096795,70.7939270802446,0.999252391373274,0.999822239216285
1.1363906504181,0.822661190151279,0.0820442454635318,0.986738939916355,1.50271863032002,0.417848022591487,0.306384436156015
0.951790541684994,0.808498101700316,0.0141533738866908,0.620994235253128,0.967577440737829,0.75346036481069,0.612363239633016
1.19021193510591,0.89678389461848,0.173838351387531,0.840879892266152,0.623127997852862,0.972224272965142,0.521363657690475
0.739102783356463,0.800821784959623,0.5533102787187,0.608188044010432,0.487662568402045,0.999941618986051,0.753589486289834
0.981565931427319,0.891519438765374,0.157315646065399,0.568017762748149,0.25265289703384,0.529426413298738,0.296659778769416
0.867493056458963,0.820758685614347,0.698866718215868,0.838698063456699,6.49123667945621,0.834898991782925,0.832782748988057
0.751068964941006,0.803765297787869,0.11660600923486,0.100372906487142,-3.88043835080868,0.976087611209861,0.838939821620425
1.67810854272915,0.932226177911016,0.105395124992356,0.943403440312087,0.350196494255215,0.426541431986113,0.206211687143575
1.00569818123886,0.870550842794413,0.937716604210436,0.24256678863116,0.290867755153847,0.820517605092873,0.550828872761254
0.71144403364729,0.841430893599633,0.595568881263477,0.771555489250812,0.924521055562892,0.990704120268726,0.610938584911992
0.614873782548833,0.797340598761979,0.98332066143432,0.433725501815193,0.0537091561536723,0.99941028642371,0.986168301197837
0.767139265506549,0.807824551350606,0.567336521111429,0.892508365374064,0.716965831816196,0.924088320984193,0.800240296004723
0.89967455317559,0.852161506620655,0.963450441136956,0.224274662477212,0.343630958510739,0.859709824636809,0.630233567664613
0.911138341307771,0.801311097085523,9.06507484614849e-05,0.593343184241481,1.1318236334156,0.78353955397463,0.658142270276079
0.885939485608721,0.87767542125007,0.375582283362746,0.909801308577588,0.436335620703176,0.922899389670535,0.644120461479727
1.11123106702229,0.837411750595941,0.18964457930997,0.732247578922526,0.535315789566862,0.639328656463732,0.445251550486095
0.72119387863868,0.843261413452231,0.293032775209846,1.00071621971858,0.649396063914844,0.999754174855762,0.756753454953013
6.89838177704196,0.990339159843069,0.551153476672938,0.240661494318284,-0.871757170795689,0.869868062948513,0.350912012960464
1.99511784470673,0.955615088541257,0.789496826240793,0.789045485255981,0.254236343782395,0.785425153812292,0.458604546263814
0.754536503310443,0.806867425853022,0.134781321932124,0.311349669853255,-0.994610020134616,0.999971998923903,0.77878691088113
0.860560514731333,0.867293565534055,0.0521472592372447,0.80440290318802,0.462934827664867,0.922826876398176,0.57952359225601
0.708394953777823,0.817589877140686,0.629705394378631,1.20698867813781,0.119309997774783,0.999104098140597,0.922042697540529
0.934191116273927,0.864483886274541,0.37625807360746,0.834953864665856,0.996281369261585,0.821661488471976,0.611617213159616
1.31463000360373,0.884234879928189,0.435541245387867,0.138213335952859,0.656304105901176,0.651043691676501,0.402880797086535
0.709476756258552,0.812274953435551,0.40787869069059,1.03741554259924,3.81594624484724,0.999574050353774,0.721313822627121
0.744859644537844,0.81404511595161,0.448044190166692,0.078699207595782,0.216866385036769,0.999711362144174,0.952428744370844
0.975739974552699,0.82760058093913,0.218842969741672,0.900427215716126,0.413025262299925,0.708822220331212,0.689919056370854
2.24270211531283,0.967952772414301,0.986744932364672,0.163278208129711,0.630712486684194,0.999228261378857,0.403881982002583
1.18603974518141,0.863335803948591,0.0685462614055723,0.193403415787371,-0.261398684667268,0.666535838440318,0.406835636946245
1.06179931919318,0.909946498312482,0.960126130841672,0.17293536596239,0.422096248984772,0.942998815900303,0.517046921398535
0.950807991239978,0.865096155038026,0.00849683070555329,0.791433764311192,0.398828235454857,0.813883865711314,0.494264289503917
1.10139574718304,0.913426919443205,0.503865391714498,0.26940505395176,0.188031991012394,0.923511181774927,0.521938432939351
0.769002718426108,0.834314894887118,0.93284059362486,0.457433608864527,0.094829237182135,0.999820270459493,0.737449075424157
1.44666558642286,0.82105402448562,0.0135714755001223,3.85038920269673,4.43848438383266,0.335264676394634,0.320208820628658
0.932198170985406,0.797633720205094,0.18934012693353,0.141105128929863,0.463846447861344,0.802042821188851,0.649360198282053
0.944243161589311,0.855740290601678,0.976590413367376,0.203134421512263,1.05244378288046,0.827155742818965,0.663162652921419
0.82757513264803,0.832642293771265,0.393337872345001,0.365478146903919,0.668329440966381,0.920000465463069,0.616000026729336
1.08149586765533,0.831096286018747,0.290347920497879,0.954562309362832,0.119966241298243,0.637646870547539,0.474298322544852
1.02950651233365,0.883180916721379,0.190212017623708,0.277928891511086,0.922113417970451,0.819846250289569,0.61822133767638
0.719253010539936,0.796089498339537,0.263401489006355,0.971394059947615,0.640539584448561,0.984219969088961,0.779193943388128
1.02737059854508,0.901900161858003,0.330130752408877,0.0177778643641862,0.753264476312324,0.932437082159409,0.547668134541002
1.10784136723666,0.849374332818363,0.560147289652377,0.69130777071963,0.425911717582494,0.671426457016119,0.495525471866131
0.750941374706094,0.813456124026643,0.356708304025233,0.281851300462035,0.779290207638258,0.979558032425265,0.89188940312665
0.933471785025706,0.868449082960873,1.42316353160776,0.259866462090485,6.10470539274036,0.978443857223275,0.810475073109318
2.25517019082615,0.92418792353264,0.212180192591598,1.56941798277014,1.31666686930964,0.351576363343741,0.212134549308662
0.747344054549093,0.792507934081392,0.29135765065439,0.334211506267067,0.162473784481806,0.970070900559578,0.907517567649962
1.97688236424548,0.947564040904326,0.656782136298716,0.051620637549007,0.0592839259188622,0.89925668785529,0.389827201991595
0.9954379086005,0.904465100084083,0.344435634324327,0.678816742230525,0.629188003018498,0.920659570327384,0.480311805440967
0.75160361639013,0.837266889663129,0.198337115473755,0.494071227690036,0.250505977314144,0.999667264426105,0.733887515323622
1.3838818042927,0.946374668751377,0.845905766133568,0.770759567638068,0.339170960593545,0.978882501626655,0.414043187206891
0.94148117193124,0.857540305684495,0.93069243663922,0.742699231130846,0.232807028749423,0.795474743682108,0.646445612266843
0.737533163526465,0.852698424718071,0.185197594447918,1.29375684534309,2.06171239961048,0.999975515251822,0.755962860762874
1.23644401959456,0.934013757111449,0.970830164668026,0.221043344584088,0.303060959668226,0.999999998119394,0.46877717992224
1.29941303513158,0.803684886821392,0.536431466464325,0.00750431071680739,0.592225028740222,0.913130700060088,0.83047441488848
1.31555078700572,0.901552408164405,0.299958700273932,1.40135848785332,1.0055624869915,0.629557521518315,0.358849582254449
1.06637873191219,0.83329601853827,0.179653143636985,1.38855675042747,0.25907643141072,0.628302556768651,0.53987190070047
0.793429884186544,0.823096248582464,0.0142389337997884,1.00899401521703,0.934040281527437,0.88810423088433,0.63448655333
0.660184047965617,0.783307009505277,0.438519541508009,1.21927480672661,1.04170545592318,0.999803996626697,0.881983954150726
0.955545918305361,0.897776443624346,0.71112231654115,1.03970821617305,0.30613886625726,0.927372067992035,0.492266816387314
3.23600748015207,0.807968719787352,0.00167330199401414,1.48935468298751,1.56067397165097,0.13394595412183,0.112151440054031
0.689980437142568,0.819739203826154,0.128518497351245,1.28514550963307,0.988312787154094,0.999773959455767,0.818281855459823
0.727536153960953,0.787985319773126,0.798761465775007,0.595153214937831,0.708316585580074,0.999906100023966,0.845543695059004
0.944440474400445,0.805838893321623,0.533385667717084,0.156723784916685,0.0175690240653,0.799874224865536,0.694890018835764
0.830755462607432,0.802566019455651,0.460433940635994,0.419355542960031,0.417456045738505,0.896171622390231,0.838129523520298
0.827793101327688,0.830995871580648,0.558621166506782,0.36183278710253,0.758941853651777,0.844887971786475,0.590485468581065
0.765088305773119,0.915609272895382,2.27272343507109,4.57793026237743,18.3392562962078,0.999999020065159,0.517190335028211
0.80020968177031,0.843085949420051,0.204323980724439,0.618462608258413,0.966459324816242,0.919121712796087,0.706744597060606
0.96173206814926,0.818501548296239,0.0957612979691476,0.817402539848435,0.682508908850479,0.719228772132936,0.654126977548553
1.15880335694363,0.911622422896419,0.922385013196617,0.0332060538591398,0.658655235078186,0.899250834587192,0.617952659260482
1.51878084216769,0.820802471540034,0.0372451826231866,2.32824212455451,1.60386412536238,0.356511256459826,0.301019694831917
0.77074863103377,0.82331437131218,0.351374685418894,0.181412028337516,-1.02009528946136,0.957888482731131,0.716121103076026
